Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
Greenr,Mumbai,,Cafe,,,https://www.instagram.com/reel/C8JzF0vAQtv/,No
Iconic Bakery,Mumbai,,Bakery,,,https://www.instagram.com/p/DB76PBsS4n9/,No
"Koa Bar, Juhu",Mumbai,,,,,https://www.instagram.com/reel/C6X_GhUSZFm/,No
Cafe Churchill - Leopold - Cafe Universal,Mumbai,,,,,https://www.instagram.com/reel/C6LtGxKvLcO/,No
Silk Road Company,Mumbai,,Cafe,,,https://www.instagram.com/reel/DBqoWF2yMIS/,No
Sixteen 33,Mumbai,,,,,https://www.instagram.com/p/DCBmyqOSWaT/,No
Chocolate Mousse Places,Mumbai,,Bakery,,,https://www.instagram.com/reel/DBqtW4NyzSz/,No
Best Coffee Spots,Mumbai,,Cafe,,,https://www.instagram.com/reel/DAkJg1vzIFW/,No
Eddie’s Cafe and Bar,Mumbai,,Cafe,,,https://www.instagram.com/reel/DBViWSACgsZ/,No
Grey Soul Coffee,Mumbai,Amazing coffee - carrot cake was amazing too - their iced coffee and hot coffee both are incredible - great roast - great flavor,Cafe,,,https://www.instagram.com/reel/DCLu0EQPPSH/,Yes
Amaru,Mumbai,,,,,https://www.instagram.com/reel/DBgRyH6IE2J/,No
Bumi Pura,Mumbai,,,,,https://www.instagram.com/reel/DBl9bpXAC2l/,No
Kerala Quarters,Mumbai,,,,,https://www.instagram.com/p/DCGjrcwCyIT/,No
Morii Cafe,Mumbai,,Cafe,,,https://www.instagram.com/reel/DCEt59XIMnN/,No
Saz,Mumbai,Amazing tiramisu,,,,https://www.instagram.com/reel/DA3YLFWy7mF/,No
Toast Pasta Bar,Mumbai,"Amazing tiramisu, fluffy",,,,https://www.instagram.com/reel/C_qDFoovMNc/,No
Era,Mumbai,,,,,https://www.instagram.com/reel/DClfTWeigvj/?igsh=ZjA1c21oaXBhMnBi,Yes
Nandan Coffee House,Mumbai,,Cafe,,,https://www.instagram.com/p/DA71GAPytyL/?igsh=aXl3aTMyM3d2dnhi,Yes
